127.0.0.1 - - [01/Dec/2014:20:56:02 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:56:04 +0700] "GET /ZK_Test/ HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:56:04 +0700] "GET /ZK_Test/js/msgzul.js;jsessionid=A9607FC3BD3A9434CD7190A98A00A668 HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:56:04 +0700] "GET /ZK_Test/zkau/web/795656c7/js/zul.lang.wpd;jsessionid=A9607FC3BD3A9434CD7190A98A00A668 HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:56:05 +0700] "GET /ZK_Test/zkau/web/795656c7/js/zk.wpd;jsessionid=A9607FC3BD3A9434CD7190A98A00A668 HTTP/1.1" 200 118469
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:56:06 +0700] "GET /ZK_Test/zkau/web/795656c7/zul/css/zk.wcs;jsessionid=A9607FC3BD3A9434CD7190A98A00A668 HTTP/1.1" 200 18240
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:56:06 +0700] "GET /ZK_Test/zkau/web/_zv2014090212/js/zul.wnd.wpd;jsessionid=A9607FC3BD3A9434CD7190A98A00A668 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:56:06 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:56:06 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:59:56 +0700] "GET /ZK_Test/zkau;jsessionid=A9607FC3BD3A9434CD7190A98A00A668?dtid=z_gy80&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:59:58 +0700] "GET /ZK_Test/listbox.zul;jsessionid=A9607FC3BD3A9434CD7190A98A00A668 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:59:58 +0700] "GET /ZK_Test/zkau/web/795656c7/js/zul.lang.wpd HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:59:58 +0700] "GET /ZK_Test/zkau/web/_zv2014090212/js/zul.mesh.wpd HTTP/1.1" 200 17824
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:59:58 +0700] "GET /ZK_Test/zkau/web/_zv2014090212/js/zul.menu.wpd HTTP/1.1" 200 7899
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:59:58 +0700] "GET /ZK_Test/zkau/web/_zv2014090212/js/zul.sel.wpd HTTP/1.1" 200 20046
0:0:0:0:0:0:0:1 - - [01/Dec/2014:20:59:59 +0700] "GET /ZK_Test/img/mail.png HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:15 +0700] "GET /ZK_Test/zkau?dtid=z_hy80&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/listbox.zul;jsessionid=A9607FC3BD3A9434CD7190A98A00A668 HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/js/msgzul.js HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/zkau/web/795656c7/js/zul.lang.wpd HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/zkau/web/795656c7/js/zk.wpd HTTP/1.1" 200 118469
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/zkau/web/795656c7/zul/css/zk.wcs HTTP/1.1" 200 18240
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/zkau/web/_zv2014090212/js/zul.sel.wpd HTTP/1.1" 200 20046
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/zkau/web/_zv2014090212/js/zul.mesh.wpd HTTP/1.1" 200 17824
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/zkau/web/_zv2014090212/js/zul.menu.wpd HTTP/1.1" 200 7899
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/zkau/web/_zv2014090212/js/zul.box.wpd HTTP/1.1" 200 8123
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/img/mail.png HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/zkau/web/795656c7/zul/img/misc/progress.gif HTTP/1.1" 200 1849
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:00:16 +0700] "GET /ZK_Test/zkau/web/795656c7/zul/less/font/fontawesome-webfont.woff?v=4.0.1 HTTP/1.1" 200 44476
0:0:0:0:0:0:0:1 - - [01/Dec/2014:21:04:58 +0700] "GET /ZK_Test/zkau?dtid=z_iy80&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 17
